team,activePlayers,forwards,midfielders,defenders,goalkeepers,transferFees,totalSalary,seasonStarting,points,position
Manchester City F.C.,25,34647000,55284000,39526000,5720000,149930000,135177000,2017,100,
Liverpool F.C.,25,31954000,46020000,29536000,7580000,9350000,115090000,2019,99,
Manchester City F.C.,26,44200000,50440000,43026000,7540000,62350000,145206000,2018,98,
Liverpool F.C.,26,38480000,46020000,29900000,7800000,176587250,122200000,2018,97,
Manchester United F.C.,30,44720000,56420000,52415000,29900000,68750000,183455000,2017,81,
Manchester City F.C.,25,29907000,76084000,32990000,7540000,167580000,146521000,2019,81,
Tottenham Hotspur F.C.,29,62600000,35055200,25020000,9140000,118250000,131815200,2017,77,
Liverpool F.C.,25,36134000,50300000,24216000,7480000,96470000,118130000,2017,75,
Chelsea F.C.,28,10365000,61542000,44980000,11596000,195360000,132903000,2018,72,
Tottenham Hotspur F.C.,23,23348000,30680000,23998000,8320000,0,86346000,2018,71,
Chelsea F.C.,28,32600000,42950000,49630000,13520000,250420000,138700000,2017,70,
Arsenal F.C.,28,28967273,50180000,37544000,11960000,69900000,128651273,2018,70,
Manchester United F.C.,26,39520000,56680000,37180000,15600000,71000000,148980000,2018,66,
Chelsea F.C.,29,30750000,49490000,31430000,9620000,51300000,121290000,2019,66,
Manchester United F.C.,28,37740000,48620000,46535000,24700000,179060000,157595000,2019,66,
Arsenal F.C.,31,43127273,45080000,39454000,5720000,94600000,133381273,2017,63,
Leicester City,28,15600000,30164000,20709000,8996000,113320000,75469000,2019,62,
Tottenham Hotspur F.C.,25,21480000,37440000,24778000,6440000,132180000,90138000,2019,59,
Wolverhampton Wanderers F.C.,26,14516000,17082000,13247000,5200000,132140000,50045000,2019,59,
Wolverhampton Wanderers F.C.,25,9432000,13230000,11195000,7176000,65160000,41033000,2018,57,
Arsenal F.C.,25,31827273,34940000,38399000,6240000,173740000,111406273,2019,56,
Burnley F.C.,22,8580000,10868000,13406000,2620000,1210000,35474000,2017,54,
Everton F.C.,28,18096000,31176000,28080000,6760000,88870000,84112000,2018,54,
Burnley F.C.,25,10140000,18408000,15136000,4920000,14773000,48604000,2019,54,
Sheffield United F.C.,26,3692000,5392000,5668000,1820000,66980000,16572000,2019,54,
Leicester City,28,15860000,26312000,28340000,8996000,91500000,79508000,2018,52,
West Ham United F.C.,25,22100000,34476000,22464000,5980000,87900000,85020000,2018,52,
Southampton F.C.,22,12040000,18356000,16380000,4680000,62250000,51456000,2019,52,
Watford,23,13520000,14040000,15812000,3380000,17800000,46752000,2018,50,
Everton F.C.,34,24580000,29131000,28660000,8176000,110770000,90547000,2017,49,
Crystal Palace,25,20020000,18356000,25012000,6500000,9500000,69888000,2018,49,
Everton F.C.,25,22265000,31731000,24180000,5200000,133840000,83376000,2019,49,
Leicester City,27,21800000,27668000,20981000,8996000,61600000,79445000,2017,47,
AFC Bournemouth,7,3640000,2600000,8060000,3640000,25125000,17940000,2018,45,
Newcastle United F.C.,24,13208000,12844000,15392000,4732000,23230000,46176000,2018,45,
Crystal Palace,31,28590000,28392000,27480000,8088000,20790000,92550000,2017,44,
Newcastle United F.C.,28,19913600,11917000,20979600,3876000,63150000,56686200,2017,44,
Newcastle United F.C.,25,14848000,11441000,18496000,4576000,83680000,49361000,2019,44,
Crystal Palace,25,25870000,18200000,26052000,5200000,6950000,75322000,2019,43,
West Ham United F.C.,24,23900000,13656000,19764000,6280000,24420000,63600000,2017,42,
Brighton & Hove Albion,29,8840000,12260000,15936000,4006666,57940000,41042666,2019,41,
Brighton & Hove Albion,31,9190000,23080000,11242000,3589333,6105000,47101333,2017,40,
Burnley F.C.,24,9620000,11128000,14096000,7036000,29700000,41880000,2018,40,
Southampton F.C.,24,23140000,17420000,21216000,8320000,55300000,70096000,2018,39,
West Ham United F.C.,27,16980000,30020000,19140000,6280000,119460000,72420000,2019,39,
Southampton F.C.,24,15810000,12080000,14836000,7340000,44330000,50066000,2017,36,
Brighton & Hove Albion,23,12740000,11960000,10674000,3486666,52810000,38860666,2018,36,
Cardiff City F.C.,23,7095666,4485000,9384500,3120000,27500000,24085166,2018,34,
AFC Bournemouth,29,5460000,2600000,4420000,0,0,36760000,2019,34,
Watford,22,12636000,14456000,12272000,3380000,0,42744000,2019,34,
Fulham F.C.,24,12454000,12374000,11070800,6500000,83950000,42398800,2018,26,
Norwich City F.C.,26,1144000,5564000,6302000,884000,1496000,13894000,2019,21,
Huddersfield Town,25,9219600,10452000,10712000,650000,38870000,31033600,2018,16,